<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.GOLD,D,20091125,000000,1174.40002,1194.69995,1174.40002,1194.69995
SPFB.GOLD,D,20091126,000000,1192.90002,1195.50000,1181.90002,1193.30005
SPFB.GOLD,D,20091127,000000,1190.40002,1190.40002,1141.00000,1182.00000
SPFB.GOLD,D,20091130,000000,1182.69995,1183.30005,1166.80005,1182.19995
SPFB.GOLD,D,20091201,000000,1184.00000,1204.90002,1183.19995,1199.50000
SPFB.GOLD,D,20091202,000000,1204.00000,1219.09998,1204.00000,1218.09998
SPFB.GOLD,D,20091203,000000,1218.09998,1223.19995,1207.40002,1216.00000
SPFB.GOLD,D,20091204,000000,1215.00000,1225.00000,1152.69995,1159.80005
SPFB.GOLD,D,20091207,000000,1157.69995,1165.80005,1138.09998,1156.09998
SPFB.GOLD,D,20091208,000000,1160.00000,1164.59998,1125.50000,1132.30005
SPFB.GOLD,D,20091209,000000,1132.50000,1150.00000,1118.50000,1131.50000
SPFB.GOLD,D,20091210,000000,1133.50000,1137.40002,1122.09998,1134.59998
SPFB.GOLD,D,20091211,000000,1137.19995,1144.80005,1112.30005,1121.59998
SPFB.GOLD,D,20091214,000000,1125.00000,1133.50000,1122.30005,1131.09998
SPFB.GOLD,D,20091215,000000,1128.09998,1132.59998,1116.69995,1128.59998
SPFB.GOLD,D,20091216,000000,1130.50000,1147.00000,1128.19995,1141.40002
SPFB.GOLD,D,20091217,000000,1138.80005,1138.80005,1101.30005,1101.30005
